-224,16560,-6,1.81
-116,16268,-6,1.76
-360,16288,-5,1.72
-264,16396,-6,1.67
-316,16420,-5,1.63
-316,16460,-4,1.59
-160,16192,-3,1.56
-84,16420,0,1.55
-336,16256,3,1.55
-92,16188,7,1.57
212,16088,13,1.63
620,16240,22,1.74
472,16592,29,1.88
336,16720,35,2.05
-224,15944,38,2.22
336,16248,39,2.41
-108,16184,40,2.59
4,15664,38,2.76
-776,16212,36,2.91
-348,16800,32,3.04
-116,16188,30,3.16
-192,16484,26,3.27
312,16212,22,3.36
-644,16444,18,3.41
-20,16608,14,3.46
188,16408,11,3.50
-656,16404,7,3.49
-592,16592,-1,3.45
-724,16392,-6,3.38
-28,16672,-11,3.31
428,16676,-11,3.24
-32,16252,-10,3.17
668,16304,-7,3.13
644,16252,-1,3.12
180,16224,3,3.11
364,16420,3,3.12
-76,16240,3,3.11
-76,16420,1,3.09
328,16472,0,3.08
296,16420,2,3.08
304,16248,2,3.07
12,16492,2,3.06
264,16396,2,3.06
268,16280,3,3.06
220,16428,3,3.06
168,16136,3,3.06
252,16344,4,3.06
360,16364,5,3.08
188,16192,5,3.09
252,16384,4,3.09
540,16452,5,3.11
336,16452,6,3.12
192,16236,6,3.14
244,16280,6,3.15
448,16244,6,3.17
296,16396,6,3.19
280,16288,6,3.20
344,16196,7,3.22
316,16476,7,3.25
340,16260,7,3.27
452,16328,7,3.29
420,16336,7,3.31
428,16456,8,3.34
448,16432,8,3.37
480,16384,8,3.40
520,16368,8,3.43
420,16076,9,3.46
460,16364,9,3.49
552,16196,9,3.53
488,16416,9,3.56
528,16420,10,3.60
476,16212,10,3.63
512,16276,10,3.67
728,16384,10,3.71
536,16408,11,3.76
592,16356,11,3.80
780,16424,11,3.85
572,16288,11,3.89
664,16428,12,3.94
584,16196,12,3.99
632,16408,13,4.04
532,16344,13,4.09
748,16232,13,4.14
896,16384,13,4.20
1044,16556,13,4.26
324,16156,13,4.31
1064,16200,13,4.37
512,16332,13,4.42
1768,16312,1,4.43
1916,16096,3,4.46
-4112,14712,-16,4.25
2040,17752,-30,4.12
520,16152,-28,3.96
-432,16524,-37,3.74
2200,17256,-41,3.56
180,16012,-39,3.35
188,16188,-42,3.12
844,16100,-40,2.92
748,16596,-38,2.73
388,16348,-34,2.55
616,16264,-31,2.40
812,16276,-27,2.27
504,16168,-22,2.15
864,16364,-17,2.08
484,16048,-10,2.02
1152,16220,-2,2.03
1176,16040,8,2.08
728,16220,16,2.16
856,16220,23,2.28
416,15964,27,2.41
216,16052,27,2.54
-64,16312,24,2.64
-148,16708,20,2.72
140,16316,19,2.80
-184,16068,22,2.88
-1668,16840,36,3.00
-1956,16852,49,3.18
-976,15236,54,3.41
40,17696,41,3.59
684,17352,37,3.76
-1696,15572,30,3.85
2188,16500,31,4.03
660,16132,31,4.17
-220,16916,22,4.25
2492,16872,12,4.33
-208,16008,7,4.33
2156,16844,-9,4.31
1664,17092,-13,4.25
212,16668,-19,4.13
1340,16756,-29,3.99
848,16684,-32,3.83
716,15456,-39,3.63
1648,16676,-43,3.43
2104,16656,-45,3.23
1692,15852,-46,3.02
1512,16196,-48,2.79
1712,16012,-49,2.57
2132,15976,-49,2.36
1940,17012,-48,2.15
2100,15684,-48,1.95
2452,16420,-49,1.75
2164,16280,-47,1.55
2028,16072,-47,1.36
2500,16208,-46,1.18
3468,16524,-43,1.04
2112,14960,-28,0.94
7944,18100,-16,1.01
3468,15048,2,1.10
4284,16904,-4,1.17
3208,17256,-10,1.18
2160,15348,-20,1.13
2972,17132,-27,1.05
2936,16464,-28,0.97
2468,15892,-29,0.88
2796,16692,-27,0.80
2304,16544,-24,0.73
2060,16872,-19,0.68
2340,15832,-12,0.67
728,16092,-8,0.64
1012,16004,-3,0.65
128,16476,4,0.66
328,17260,12,0.73
-352,16216,18,0.80
996,15276,24,0.94
-52,17292,34,1.10
-364,16052,36,1.27
1220,16460,39,1.48
-856,16236,42,1.66
-356,15972,40,1.84
132,15640,41,2.03
-40,18492,42,2.23
-32,15544,40,2.41
-216,15492,39,2.58
-380,16772,37,2.74
-108,14036,34,2.89
140,17948,30,3.02
428,15900,27,3.15
-668,15192,20,3.21
412,18056,12,3.25
-1184,15740,4,3.22
540,16404,-4,3.20
-92,16316,-8,3.13
-248,16644,-14,3.04
304,16812,-20,2.92
-140,16792,-24,2.78
-96,16364,-30,2.61
-372,16372,-35,2.41
-796,16400,-41,2.18
-32,16076,-45,1.94
-632,16792,-47,1.68
508,16560,-49,1.43
-504,16644,-50,1.16
-288,15548,-43,0.94
2620,17936,-32,0.83
1660,16128,-13,0.79
-164,15120,-2,0.78
-452,16556,2,0.77
-132,16432,6,0.79
564,16396,10,0.85
752,15980,18,0.95
496,15944,27,1.09
-44,15248,36,1.26
972,16060,44,1.49
-8,14808,50,1.73
172,16640,49,1.97
-248,17108,49,2.19
-156,16024,46,2.40
72,16440,47,2.62
260,14948,46,2.84
1048,18308,44,3.06
-716,16224,43,3.24
-176,16476,35,3.39
336,17384,30,3.52
-452,16104,24,3.61
136,16720,17,3.67
-796,16064,11,3.68
260,17104,1,3.67
-696,16592,-5,3.60
-360,16896,-17,3.49
-1136,16288,-28,3.30
-1212,16564,-45,3.03
-336,17044,-55,2.72
240,15944,-60,2.41
200,16340,-60,2.10
264,16532,-59,1.80
168,15980,-56,1.52
320,16220,-53,1.25
280,16148,-48,1.01
836,16296,-38,0.84
1744,16968,-20,0.77
1180,16100,-4,0.77
-536,16292,5,0.78
-260,17184,9,0.81
1208,15844,19,0.93
1196,16664,31,1.11
716,15132,39,1.31
-832,16276,43,1.50
-24,15360,42,1.69
1168,16224,48,1.95
-36,16172,53,2.20
-296,15776,55,2.45
516,16200,53,2.71
92,16392,52,2.95
640,16524,50,3.20
108,16072,48,3.41
-104,17080,44,3.61
-432,16560,37,3.76
-308,15936,28,3.87
-164,17592,18,3.93
-632,16696,6,3.92
-536,16372,-7,3.84
-452,17076,-17,3.72
-420,16456,-27,3.55
64,16252,-33,3.37
192,16456,-37,3.17
-1064,16452,-43,2.91
336,16800,-48,2.66
8,15412,-47,2.41
168,16272,-45,2.17
780,16564,-42,1.97
-40,15820,-38,1.76
136,16268,-35,1.58
3844,16836,-21,1.55
-1572,16516,-13,1.44
412,16568,-16,1.36
-1016,16020,-16,1.25
36,17044,-19,1.15
20,15536,-15,1.07
1064,17316,-6,1.05
3464,15168,21,1.23
-1256,15792,32,1.36
2148,16164,39,1.59
-160,15628,44,1.79
-272,16192,41,1.98
856,16036,45,2.21
148,16204,48,2.44
-932,15856,48,2.64
668,16360,45,2.86
408,16332,46,3.08
-288,15864,42,3.26
740,16620,39,3.45
-232,16732,36,3.60
100,16176,30,3.73
332,16436,24,3.83
-668,16936,15,3.86
260,16644,3,3.86
-632,16568,-5,3.79
-40,16488,-15,3.69
128,16208,-20,3.57
284,16232,-23,3.44
636,16088,-22,3.32
804,16164,-20,3.22
740,16396,-17,3.13
352,16180,-14,3.05
876,16136,-11,3.00
1016,16216,-6,2.97
812,16296,-2,2.96
720,16100,2,2.97
652,16352,5,2.99
628,16300,7,3.02
748,16396,9,3.06
520,16440,10,3.10
468,16180,10,3.14
380,16288,10,3.18
452,16444,10,3.22
500,16376,10,3.26
704,16220,11,3.31
712,16408,13,3.37
728,16312,14,3.43
536,16312,15,3.50
784,16124,15,3.57
540,16288,16,3.63
596,16104,17,3.71
704,16296,18,3.79
744,16284,19,3.88
584,16300,19,3.96
940,16248,19,4.05
464,16312,18,4.12
620,16352,15,4.18
880,16412,13,4.24
620,16252,11,4.28
408,16764,7,4.30
1088,16616,5,4.32
164,15800,1,4.30
920,16772,-3,4.28
44,16720,-11,4.19
540,16688,-19,4.08
-120,16512,-23,3.94
328,16428,-29,3.78
1776,16376,-28,3.66
-292,16228,-27,3.49
1296,16676,-29,3.35
400,16644,-27,3.21
652,15964,-26,3.07
876,16228,-25,2.95
524,16436,-22,2.83
980,16136,-19,2.74
1000,16024,-14,2.68
1008,16256,-9,2.64
1072,15844,-4,2.62
1048,16232,1,2.64
904,16380,4,2.66
1304,16484,8,2.71
388,15796,11,2.76
828,16328,12,2.82
1204,16244,16,2.91
1020,15888,21,3.02
1188,16116,26,3.15
1352,16228,31,3.32
1060,15916,34,3.49
1152,16528,35,3.67
-256,16728,27,3.77
452,16784,22,3.87
1064,16112,20,3.97
1176,16288,21,4.07
-224,16640,15,4.11
740,16088,10,4.15
152,16708,2,4.14
2028,16644,-2,4.15
-696,15832,-3,4.09
1264,17136,-10,4.04
-352,16676,-14,3.94
688,16712,-21,3.82
1552,15912,-21,3.73
616,16384,-20,3.62
488,16144,-23,3.49
732,15356,-26,3.36
868,16504,-26,3.23
652,16200,-25,3.10
480,16496,-25,2.96
1536,16004,-22,2.87
524,16176,-18,2.77
972,16840,-15,2.70
1068,15924,-13,2.65
756,16460,-10,2.60
612,16376,-8,2.55
1408,15600,-4,2.55
900,16884,2,2.56
1232,15928,5,2.60
1588,16444,11,2.67
1060,16328,16,2.76
1056,16032,17,2.85
984,16256,20,2.96
608,15640,22,3.06
780,16696,24,3.18
1212,16588,27,3.32
560,16172,26,3.44
-100,16520,22,3.52
1016,15844,19,3.62
1220,16440,20,3.72
1316,16764,19,3.82
-152,15884,17,3.88
248,16196,9,3.90
700,16276,5,3.92
1736,16304,4,3.95
540,16064,1,3.94
900,16364,-4,3.92
1276,16776,-8,3.88
536,16008,-11,3.81
960,18168,-17,3.72
1008,16484,-21,3.62
-40,15824,-22,3.48
1176,18764,-23,3.37
1404,15300,-20,3.28
140,15916,-21,3.16
1168,17508,-22,3.05
408,14524,-20,2.95
1320,18100,-19,2.86
1400,16476,-15,2.80
440,14092,-13,2.73
2280,17400,-9,2.71
476,16432,-6,2.68
848,16336,-7,2.64
1396,16896,-2,2.65
512,16304,1,2.65
1972,16020,1,2.68
1028,16104,8,2.73
1156,16456,11,2.79
1100,16272,13,2.86
420,15764,16,2.93
1320,15832,16,3.02
1392,16256,17,3.12
916,15676,19,3.22
772,16000,18,3.30
1504,16512,19,3.41
644,15628,19,3.50
1008,16536,20,3.60
1104,15324,19,3.69
-2128,15360,20,3.72
-2788,18168,31,3.79
-2180,16712,43,3.93
-780,16520,43,4.10
-1384,17244,31,4.20
1184,17400,24,4.31
2508,16028,22,4.45
2044,16340,15,4.54
1720,18236,-3,4.53
1888,16360,-14,4.48
2056,17676,-25,4.37
3936,16132,-35,4.26
3220,16568,-39,4.11
1828,17208,-50,3.87
2360,16448,-61,3.60
1324,16928,-64,3.29
1452,15340,-69,2.96
3056,15392,-70,2.66
1688,16172,-69,2.34
1980,17492,-72,2.01
2104,14296,-72,1.70
1612,17080,-73,1.36
2840,15452,-73,1.06
2596,16792,-69,0.76
3028,16276,-65,0.51
2688,14656,-57,0.29
5988,16864,-45,0.19
2540,13060,-26,0.13
8288,15440,-16,0.24
7176,15696,9,0.44
4520,15000,13,0.62
7948,16828,19,0.87
3904,15104,24,1.08
6448,16240,21,1.32
5092,17040,19,1.52
2428,16032,4,1.59
3580,16912,-13,1.59
2300,16360,-21,1.53
3812,16164,-26,1.48
2604,16280,-30,1.38
1916,15988,-34,1.24
